last_changed,state,entity_id
"2020-09-16 05:35:05.499724","{""sensor"":""HTU21"",""time"":552864186,""temp"":22.32688,""hum"":58.68201}",sensor.arduino_sensor
"2020-09-16 05:37:05.680749","{""sensor"":""HTU21"",""time"":552984307,""temp"":22.32688,""hum"":58.41498}",sensor.arduino_sensor
"2020-09-16 05:39:05.794838","{""sensor"":""HTU21"",""time"":553104488,""temp"":22.30543,""hum"":58.10217}",sensor.arduino_sensor
"2020-09-16 05:41:05.983582","{""sensor"":""HTU21"",""time"":553224667,""temp"":22.2947,""hum"":58.0564}",sensor.arduino_sensor
"2020-09-16 05:43:06.178562","{""sensor"":""HTU21"",""time"":553344827,""temp"":22.28398,""hum"":58.1861}",sensor.arduino_sensor
"2020-09-16 05:45:06.329561","{""sensor"":""HTU21"",""time"":553464979,""temp"":22.26253,""hum"":58.20135}",sensor.arduino_sensor
"2020-09-16 05:47:06.357950","{""sensor"":""HTU21"",""time"":553585040,""temp"":22.2518,""hum"":58.33105}",sensor.arduino_sensor
"2020-09-16 05:49:06.520020","{""sensor"":""HTU21"",""time"":553705199,""temp"":22.26253,""hum"":59.23895}",sensor.arduino_sensor
"2020-09-16 05:51:06.720625","{""sensor"":""HTU21"",""time"":553825377,""temp"":22.2947,""hum"":59.10925}",sensor.arduino_sensor
"2020-09-16 05:53:06.930552","{""sensor"":""HTU21"",""time"":553945514,""temp"":22.28398,""hum"":60.54358}",sensor.arduino_sensor
"2020-09-16 05:55:06.968432","{""sensor"":""HTU21"",""time"":554065647,""temp"":22.26253,""hum"":60.68854}",sensor.arduino_sensor
"2020-09-16 05:57:08.420710","{""sensor"":""HTU21"",""time"":554185747,""temp"":22.23035,""hum"":59.73486}",sensor.arduino_sensor
"2020-09-16 05:59:07.390671","{""sensor"":""HTU21"",""time"":554305909,""temp"":22.24108,""hum"":59.36865}",sensor.arduino_sensor
"2020-09-16 06:01:07.434701","{""sensor"":""HTU21"",""time"":554426088,""temp"":22.19818,""hum"":60.94794}",sensor.arduino_sensor
"2020-09-16 06:03:07.598349","{""sensor"":""HTU21"",""time"":554546235,""temp"":22.14455,""hum"":60.82587}",sensor.arduino_sensor
"2020-09-16 06:05:07.755012","{""sensor"":""HTU21"",""time"":554666392,""temp"":22.10165,""hum"":61.35229}",sensor.arduino_sensor
"2020-09-16 06:07:07.878870","{""sensor"":""HTU21"",""time"":554786474,""temp"":22.06948,""hum"":61.23022}",sensor.arduino_sensor
"2020-09-16 06:09:08.061731","{""sensor"":""HTU21"",""time"":554906634,""temp"":22.05875,""hum"":61.03186}",sensor.arduino_sensor
"2020-09-16 06:11:08.250601","{""sensor"":""HTU21"",""time"":555026809,""temp"":22.09093,""hum"":60.20026}",sensor.arduino_sensor
"2020-09-16 06:13:08.420663","{""sensor"":""HTU21"",""time"":555146994,""temp"":22.13383,""hum"":60.09344}",sensor.arduino_sensor
"2020-09-16 06:15:08.519774","{""sensor"":""HTU21"",""time"":555267138,""temp"":22.15528,""hum"":61.61169}",sensor.arduino_sensor
